0;1;2;3;4;5;6;7;8;max_crit;moyenne;creation;destruction
100;100;100;100;100;100;100;100;100;100;100;;
96;96;98;96;96;96;96;98;96;98;96,44444444;;
79,73333333;92;94;94;92;94;92;94;92;94;91,52592593;;
78;92;92;92;90;92;90;92;78;92;88,44444444;;
74,53333333;88;88;88;86;90;88;88;74,53333333;90;85,00740741;;
60,13333333;84;72,8;72,8;72,8;74,53333333;72,8;72,8;72,8;84;72,82962963;;
69,33333333;80;80;80;82;82;80;80;80;82;79,25925926;;
67,6;78;78;78;80;80;78;80;78;80;77,51111111;;
54,26666667;74;76;76;76;76;74;76;74;76;72,91851852;;
51,33333333;72;72;72;72;74;70;72;60,66666667;74;68,44444444;;
49,86666667;70;70;70;70;72;68;70;60,66666667;72;66,72592593;;
48,4;66;66;66;66;68;66;66;57,2;68;63,28888889;;
32,8;60;60;62;62;62;60;60;53,73333333;62;56,94814815;;
31,6;58;58;60;60;60;58;60;52;60;55,28888889;;
29,2;56;56;56;56;56;54;56;48,53333333;56;51,97037037;;
25,6;52;50;50;50;52;50;50;43,33333333;52;46,99259259;;
25,6;52;50;50;50;52;50;50;43,33333333;52;46,99259259;;
25,6;52;50;50;50;52;50;50;43,33333333;52;46,99259259;;
20,8;42;40;36,4;42;42;40;36,4;36,4;42;37,33333333;;
18,4;38;36;32,93333333;38;40;36;32,93333333;34,66666667;40;34,1037037;;
14,8;34;32;23,46666667;34;34;30;27,73333333;29,46666667;34;28,82962963;;
14,8;34;32;23,46666667;34;34;30;27,73333333;29,46666667;34;28,82962963;;
12,4;30;28;20,53333333;30;30;28;26;26;30;25,65925926;;
1,6;26;20,8;17,6;26;28;24;22,53333333;22,53333333;28;21,00740741;;
-0,266666667;24;17,33333333;14,66666667;22;24;20;17,6;19,06666667;24;17,65925926;;
-10,66666667;15,6;10,26666667;11,73333333;16;15,6;12,13333333;7,6;13,2;16;12,53333333;;
-4;14;8,666666667;10,4;14;14;10,4;10,26666667;10,26666667;14;10,66666667;;
-13,33333333;6,933333333;5,2;5,866666667;5,866666667;8;4,4;-5,866666667;1,6;13,33333333;6,340740741;;
-4;10;10;10,4;10,4;12;8,666666667;4;7,333333333;12;8,533333333;;
-4;8,666666667;10;10,4;12;12;8,666666667;4;7,333333333;12;8,562962963;;
-4;8,666666667;10;10,4;12;12;8,666666667;4;7,333333333;12;8,562962963;;
-4,933333333;5,2;6;6,933333333;6,933333333;8;5,2;-5,866666667;5,866666667;8;6,103703704;;
-6,8;3,466666667;1,733333333;2,933333333;2,933333333;3,466666667;1,466666667;-14;-0,8;14;4,177777778;;
-5,866666667;5,2;4;5,2;5,2;4;3,466666667;-5,866666667;4,4;5,866666667;4,8;;
-4,933333333;6,933333333;6;6,933333333;6,933333333;4;5,2;-4,933333333;5,866666667;6,933333333;5,748148148;;
-4,933333333;6,933333333;6;6,933333333;6,933333333;4;5,2;-4,933333333;5,866666667;6,933333333;5,748148148;;
-5,866666667;3,466666667;2;5,2;3,466666667;0;1,733333333;-6,8;2,933333333;6,8;3,496296296;;
-4,933333333;5,2;4;6,933333333;5,2;2;3,466666667;-6,8;4,4;6,933333333;4,77037037;;
-5,866666667;2,933333333;1,733333333;4,4;5,2;0;1,466666667;-7,733333333;-0,8;7,733333333;3,348148148;;
-4,933333333;5,2;6;8,666666667;10;4;5,2;5,866666667;5,866666667;10;6,192592593;;
-4,933333333;4,4;6;8,666666667;10;4;5,2;1,6;5,866666667;10;5,62962963;;
-4,933333333;4,4;6;8,666666667;10;4;5,2;1,6;5,866666667;10;5,62962963;;
-6,8;1,466666667;0;2,933333333;3,466666667;0;0;-8,666666667;-2;8,666666667;2,814814815;;
2,8;5,2;2;6,933333333;6;4;2,933333333;0,4;4,4;6,933333333;3,851851852;;
0,4;1,733333333;-3,2;3,466666667;1,733333333;0;0;-7,733333333;2,933333333;7,733333333;2,355555556;;
0,4;1,733333333;-3,2;3,466666667;1,733333333;0;0;-7,733333333;2,933333333;7,733333333;2,355555556;;
0,4;1,733333333;-3,2;3,466666667;1,733333333;0;0;-7,733333333;2,933333333;7,733333333;2,355555556;;
0,4;1,733333333;-3,2;3,466666667;1,733333333;0;0;-6,8;1,466666667;6,8;2,088888889;;
1,6;3,466666667;0;5,2;3,466666667;1,733333333;0;-5,866666667;2,933333333;5,866666667;2,696296296;;
4;5,2;4;8,666666667;5,2;5,2;3,466666667;4;6,933333333;8,666666667;5,185185185;;
-4,933333333;2,933333333;1,733333333;6,933333333;3,466666667;5,2;1,733333333;-4,933333333;5,2;6,933333333;4,118518519;;
-4,933333333;2,933333333;1,733333333;6,933333333;3,466666667;5,2;1,733333333;-4,933333333;5,2;6,933333333;4,118518519;;
-4,933333333;2,933333333;1,733333333;6,933333333;3,466666667;5,2;1,733333333;-4,933333333;5,2;6,933333333;4,118518519;;
-14;-6,4;-3,2;-2;-6,4;0;-9,6;-14;-3,2;14;6,533333333;;
-6,8;-3,2;-3,2;1,733333333;-3,2;0;-6,4;-6,8;0;6,8;3,481481481;;
-5,866666667;0;0;3,466666667;0;1,733333333;-3,2;-6,8;1,733333333;6,8;2,533333333;;
-5,866666667;0;0;3,466666667;0;1,733333333;-3,2;-14;1,733333333;14;3,333333333;;
-3,066666667;2,933333333;6;10;3,466666667;6,933333333;2;-12;6,933333333;12;5,925925926;;
-2,133333333;4,4;8;12;5,2;8,666666667;4;-11,33333333;6,933333333;12;6,962962963;;
-1,2;5,866666667;10;12;6,933333333;10,4;6;-10,66666667;8,666666667;12;7,97037037;;
-3,066666667;2,933333333;6;8;5,2;6,933333333;1,733333333;-12;6,933333333;12;5,866666667;;
-4;1,466666667;3,466666667;5,2;2,933333333;4,4;0;-12;4,4;12;4,207407407;;
-3,066666667;3,466666667;6;8;5,2;6,933333333;0;-3,066666667;6,933333333;8;4,740740741;;
-4;1,733333333;4;6;5,2;5,2;-3,2;-4;4,4;6;4,192592593;;
-5,866666667;-3,2;0;1,733333333;1,466666667;1,466666667;-12,8;-4,933333333;-0,8;12,8;3,585185185;;
-5,866666667;-3,2;0;2;1,733333333;1,466666667;-9,6;-4,933333333;2,933333333;9,6;3,525925926;;
-4,933333333;0;2;4;3,466666667;1,466666667;-6,4;4;4,4;6,4;3,407407407;;
-3,066666667;3,466666667;6;6;6,933333333;4,4;0;6,4;5,866666667;6,933333333;4,681481481;;
-4;1,733333333;4;6;5,2;2,933333333;-3,2;5,2;4,4;6;4,074074074;;
-4;1,733333333;4;6;5,2;2,933333333;-3,2;5,2;4,4;6;4,074074074;;
-5,866666667;-6,4;0;0;0;-3,2;-9,6;1,6;0;9,6;2,962962963;;
-4,933333333;-6,4;2;2;1,733333333;0;-6,4;2,8;1,466666667;6,4;3,081481481;;
-3,066666667;0;6;6;4;2,933333333;0;4;5,2;6;3,466666667;;
-3,066666667;0;6;6;3,466666667;2,933333333;0;-4;5,2;6;3,407407407;;
-4;0;4;4;1,733333333;1,466666667;-3,2;-4,933333333;3,466666667;4,933333333;2,977777778;;
-4;0;4;4;1,733333333;1,466666667;-3,2;-4,933333333;3,466666667;4,933333333;2,977777778;;
