0;1;2;3;4;5;6;7;8;max_crit;moyenne;creation;destruction
3,466666667;6,933333333;1,466666667;6;-3,2;4;1,466666667;1,466666667;-9,6;9,6;4,177777778;;
5,2;8,666666667;1,466666667;8;0;6;2,933333333;2,933333333;-6,4;8,666666667;4,622222222;;
3,466666667;6,933333333;0;6;-3,2;4;2,933333333;1,466666667;-9,6;9,6;4,177777778;;
3,466666667;8,666666667;1,466666667;8;0;6;4,4;2,933333333;-6,4;8,666666667;4,592592593;;
1,733333333;6,933333333;0;6;0;4;2,933333333;1,466666667;-9,6;9,6;3,62962963;;
3,466666667;8,666666667;0;8;1,733333333;6;4,4;2,933333333;-6,4;8,666666667;4,622222222;;
1,733333333;6,933333333;-6,4;6;0;4;2,933333333;1,466666667;-6,4;6,933333333;3,985185185;;
0;5,2;-9,6;6;-3,2;2;1,466666667;0;-9,6;9,6;4,118518519;;
1,733333333;8,666666667;-3,2;10;0;6;4,4;2,933333333;-3,2;10;4,459259259;;
0;8,666666667;-6,4;8;-3,2;4;2,933333333;1,466666667;-6,4;8,666666667;4,562962963;;
-3,2;6,933333333;-9,6;6;-6,4;2;1,466666667;0;-6,4;9,6;4,666666667;;
-3,2;8,666666667;-6,4;8;-3,2;4;2,933333333;1,466666667;-3,2;8,666666667;4,562962963;;
-3,2;8,666666667;-6,4;8;-3,2;4;2,933333333;1,466666667;-3,2;8,666666667;4,562962963;;
-6,4;5,866666667;-6,4;5,2;-6,4;1,733333333;1,466666667;-3,2;-6,4;6,4;4,785185185;;
3,466666667;18;4,4;14;3,466666667;10;8,8;7,333333333;5,2;18;8,296296296;;
1,466666667;11,73333333;-7,733333333;10,4;2,933333333;6,933333333;2,8;5,866666667;2,933333333;11,73333333;5,866666667;;
-3,2;10,4;-3,2;10;0;3,466666667;4,4;4,4;0;10,4;4,340740741;;
-3,2;10,4;-3,2;10;0;3,466666667;4,4;4,4;0;10,4;4,340740741;;
-3,2;8,666666667;-6,4;8;-3,2;1,733333333;2,933333333;2,933333333;-3,2;8,666666667;4,474074074;;
-12,8;2,933333333;-12,8;1,733333333;-9,6;-6,4;0;-6,4;-12,8;12,8;7,274074074;;
-9,6;5,2;-9,6;4;-6,4;-3,2;1,466666667;0;-9,6;9,6;5,451851852;;
-6,4;6,933333333;-9,6;4;-3,2;0;2,933333333;1,466666667;-6,4;9,6;4,548148148;;
-3,2;8,666666667;-6,4;6;-3,2;1,733333333;4,4;2,933333333;-3,2;8,666666667;4,414814815;;
-3,2;6,933333333;-6,4;6;0;1,733333333;4,4;2,933333333;-3,2;6,933333333;3,866666667;;
-6,4;5,2;-9,6;4;-3,2;1,733333333;2,933333333;1,466666667;-6,4;9,6;4,548148148;;
1,733333333;10,4;-3,2;8;3,466666667;6,933333333;7,333333333;5,866666667;0;10,4;5,214814815;;
-6,4;4,4;-25,6;3,466666667;0;1,733333333;-0,8;1,466666667;-9,6;25,6;5,940740741;;
1,466666667;8,666666667;-12,8;6;3,466666667;6;5,866666667;2,933333333;-3,2;12,8;5,6;;
1,466666667;10,4;-9,6;8;5,2;8;7,333333333;4,4;0;10,4;6,044444444;;
-3,066666667;11,2;-20;13,2;16,13333333;10;7,6;4;-14;20;11,02222222;11|;3|
13,2;22,53333333;-2,133333333;22;26;19,06666667;14,66666667;13,86666667;-4,933333333;26;15,37777778;;
6,4;11,2;-11,33333333;17,33333333;22,53333333;17,6;7,6;10,26666667;1,6;22,53333333;11,76296296;;
2,8;7,6;-4,933333333;13,86666667;20;7,6;5,2;5,866666667;-15,33333333;20;9,244444444;;
5,2;17,6;-3,066666667;17,33333333;19,06666667;10;13,2;1,6;-6,8;19,06666667;10,42962963;12|;10|
8,8;19,06666667;4;20;20;14,66666667;11,73333333;0,4;-0,8;20;11,05185185;;
7,333333333;15,6;1,6;16;16;11,73333333;8,8;-2;-2;16;9,007407407;;
4,4;12,13333333;-0,8;12;14;10,26666667;5,866666667;-6,4;-6,4;14;8,02962963;;
-12,8;1,6;-12,8;2,933333333;4,4;4,4;-8,666666667;-32;-22,4;32;11,33333333;;
-3,2;6,933333333;-6,4;4;6;4,4;1,466666667;-19,2;-12,8;19,2;7,155555556;;
-3,2;6,933333333;-6,4;4;6;4,4;1,466666667;-19,2;-12,8;19,2;7,155555556;;
-3,2;6,933333333;-6,4;4;6;4,4;1,466666667;-19,2;-12,8;19,2;7,155555556;;
-3,2;8,666666667;-3,2;6;8;5,866666667;2,933333333;-16;-9,6;16;7,051851852;;
